id,name,url
0,FiveThirtyEight,fivethirtyeight.com
1,Politico,politico.com
2,MSNBC,msnbc.com
3,Washington Post,washingtonpost.com
4,Business Insider,businessinsider.com
5,Washington Times,washingtontimes.com
6,The Daily Stormer,dailystormer.name
7,CNBC,cnbc.com
8,The Hill,thehill.com
9,The Intercept,theintercept.com
10,CNN,cnn.com
11,LA Times,latimes.com
12,SFGate,sfgate.com
13,ThinkProgress,thinkprogress.org
14,New York Post,nypost.com
15,Vice,vice.com
16,The Daily Caller,dailycaller.com
17,CBS News,cbsnews.com
18,Breitbart,breitbart.com
19,U.S. News & World Report,usnews.com
20,Reason,reason.com
21,Truthout,truth-out.org
22,Axios,axios.com
23,Mediaite,mediaite.com
24,The American Conservative,theamericanconservative.com
25,ProPublica,propublica.org
26,Truthdig,truthdig.com
27,BBC,bbc.com
28,TYT Network,tytnetwork.com
29,Wall Street Journal,wsj.com
30,Daily Mail,dailymail.co.uk
31,Drudge Report,drudgereport.com
32,Fortune,fortune.com
33,National Review,nationalreview.com
34,Center for Investigative Reporting,revealnews.org
35,NBC News,nbcnews.com
36,Vox,vox.com
37,BuzzFeed,buzzfeed.com
38,The Independent,independent.co.uk
39,Infowars,infowars.com
40,RealClearPolitics,realclearpolitics.com
41,The Nation,thenation.com
42,ABC News,abcnews.go.com
43,The New Yorker,newyorker.com
44,Daily Beast,thedailybeast.com
45,Alternet,alternet.org
46,AP News,apnews.com
47,Newsweek,newsweek.com
48,Time Magazine,time.com
49,New York Times,nytimes.com
50,Talking Points Memo,talkingpointsmemo.com
52,Houston Chronicle,chron.com
53,New York Daily News,nydailynews.com
54,RawStory,rawstory.com
55,Bloomberg,bloomberg.com
56,Common Dreams,commondreams.org
57,PolitiFact,politifact.com
58,Shareblue Media,shareblue.com
59,Democracy Now!,democracynow.org
60,Mother Jones,motherjones.com
61,Media Matters for America,mediamatters.org
62,USA Today,usatoday.com
63,Slate,slate.com
64,Reuters,reuters.com
65,NPR,npr.org
66,Daily Wire,dailywire.com
67,Daily Kos,dailykos.com
68,The Guardian,theguardian.com
69,HuffPost,huffingtonpost.com
70,The Boston Globe,bostonglobe.com
71,Washington Examiner,washingtonexaminer.com
72,The Atlantic,theatlantic.com
73,Fox News,foxnews.com
74,International Business Times,ibtimes.com
75,Conservative Review,conservativereview.com
76,Salon,salon.com
78,New York,nymag.com
79,The Week,theweek.com
80,Inquisitr,inquisitr.com
